"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2012","82.523","82.265","82.380","81.900","26.57K","0.00%"
"May 25, 2012","82.523","82.445","82.610","82.125","10.96K","0.04%"
"May 24, 2012","82.487","82.280","82.535","81.995","35.86K","0.31%"
"May 23, 2012","82.235","81.905","82.360","81.710","38.28K","0.72%"
"May 22, 2012","81.648","81.115","81.940","81.095","33.09K","0.51%"
"May 21, 2012","81.232","81.295","81.560","81.025","28.52K","-0.24%"
"May 18, 2012","81.424","81.650","81.930","81.155","31.55K","-0.14%"
"May 17, 2012","81.540","81.520","81.830","81.400","47.98K","0.02%"
"May 16, 2012","81.524","81.415","81.745","81.345","37.93K","0.18%"
"May 15, 2012","81.380","80.825","81.450","80.630","49.13K","0.78%"
"May 14, 2012","80.748","80.560","80.860","80.490","30.32K","0.43%"
"May 11, 2012","80.404","80.350","80.480","80.210","21.69K","0.18%"
"May 10, 2012","80.257","80.295","80.340","80.085","28.16K","0.03%"
"May 09, 2012","80.232","80.005","80.415","79.975","38.81K","0.48%"
"May 08, 2012","79.849","79.680","80.075","79.670","25.49K","0.17%"
"May 07, 2012","79.715","79.790","80.135","79.630","21.66K","0.16%"
"May 04, 2012","79.587","79.240","79.615","79.145","24.76K","0.37%"
"May 03, 2012","79.293","79.260","79.535","79.150","20.46K","0.12%"
"May 02, 2012","79.201","78.900","79.400","78.900","19.30K","0.34%"
"May 01, 2012","78.935","78.875","79.050","78.665","13.05K","0.11%"
"Apr 30, 2012","78.848","78.790","78.960","78.685","19.46K","0.12%"
"Apr 27, 2012","78.757","79.210","79.335","78.720","22.82K","-0.31%"
"Apr 26, 2012","79.001","79.100","79.170","78.900","17.26K","-0.14%"
"Apr 25, 2012","79.111","79.295","79.415","79.075","20.42K","-0.27%"
"Apr 24, 2012","79.326","79.495","79.535","79.185","16.02K","-0.26%"
"Apr 23, 2012","79.536","79.375","79.775","79.320","18.45K","0.28%"
"Apr 20, 2012","79.313","79.675","79.745","79.225","23.41K","-0.49%"
"Apr 19, 2012","79.707","79.725","79.980","79.515","19.39K","0.04%"
